Assembly,Material,OpenOrders,NewOrders,TotalWork,TotalSetup,SumDuration,SumOperations,ProductionOrders,CycleTime
18.279465,129014860,10,1,2.24,5.1,147,15,3,1661
18.279465,129014860,10,1,2.24,5.1,442,45,9,6461
18.279465,129014860,10,1,2.24,5.1,153,15,3,1983
19.841406,187106750,11,3,3.9,9.03,158,15,3,2300
19.841406,187106750,11,3,3.9,9.03,254,25,5,3478
24.07963,187722190,11,2,4.02,9.77,209,20,4,2804
24.07963,187722190,11,2,4.02,9.77,255,25,5,3689
24.07963,187722190,11,2,4.02,9.77,155,15,3,2117
30.313194,213185730,9,0,2.97,6.52,151,15,3,2102
28.398237,201578500,8,1,0.5,1.25,147,15,3,1852
28.398237,201578500,8,1,0.5,1.25,442,45,9,6090
27.074406,212248480,9,2,2.91,8.16,155,15,3,2053
27.074406,212248480,9,2,2.91,8.16,161,15,3,2137
27.074406,212248480,9,2,2.91,8.16,155,15,3,1839
27.75969,218710900,11,3,4.03,9.99,158,15,3,1739
28.15638,248470020,10,1,4.36,11.03,417,40,8,6112
31.885906,263560020,11,1,4.33,10.21,193,20,4,2854
31.885906,263560020,11,1,4.33,10.21,147,15,3,1654
35.315163,270888830,10,2,4.27,10.18,253,25,5,2979
35.315163,270888830,10,2,4.27,10.18,147,15,3,2146
37.413597,265661140,10,2,3.91,8.57,199,20,4,2170
37.132812,278286400,9,1,3,8.03,156,15,3,1847
38.014088,282805800,8,1,2.17,5.09,442,45,9,6146
39.116486,278845060,8,0,3.19,6.36,255,25,5,2821
39.46146,276880160,8,1,1.32,3.55,150,15,3,1986
37.883,265804960,6,1,0.43,0.97,147,15,3,1788
37.883,265804960,6,1,0.43,0.97,255,25,5,2585
37.883,265804960,6,1,0.43,0.97,255,25,5,3237
36.67492,270946270,9,3,2.32,6.31,158,15,3,2243
36.67492,270946270,9,3,2.32,6.31,442,45,9,5744
37.190044,271726000,10,2,5.88,11.22,150,15,3,1906
37.190044,271726000,10,2,5.88,11.22,145,15,3,1554
39.557293,278316160,12,2,5.79,10.85,161,15,3,2282
39.557293,278316160,12,2,5.79,10.85,193,20,4,1970
40.209194,305957570,13,2,5.23,11.69,152,15,3,1645
40.209194,305957570,13,2,5.23,11.69,397,40,8,5429
40.209194,305957570,13,2,5.23,11.69,158,15,3,1601
40.209194,305957570,13,2,5.23,11.69,149,15,3,2018
40.209194,305957570,13,2,5.23,11.69,147,15,3,1619
40.209194,305957570,13,2,5.23,11.69,201,20,4,2259
42.95514,431858270,16,6,4.78,10.72,397,40,8,4011
47.623657,456606800,14,1,7.32,10.86,399,40,8,4064
47.623657,456606800,14,1,7.32,10.86,209,20,4,3090
47.623657,456606800,14,1,7.32,10.86,152,15,3,1876
47.623657,456606800,14,1,7.32,10.86,255,25,5,3630
47.623657,456606800,14,1,7.32,10.86,255,25,5,3184
54.491734,495320220,18,5,6.38,12.01,150,15,3,1532
58.021465,501136900,13,1,6.64,12.27,199,20,4,2687
58.021465,501136900,13,1,6.64,12.27,442,45,9,6228
58.021465,501136900,13,1,6.64,12.27,255,25,5,3282
62.477573,515612030,15,3,6.96,11.3,147,15,3,1900
62.477573,515612030,15,3,6.96,11.3,209,20,4,2455
65.092186,526686240,13,0,6.16,9.49,254,25,5,3235
64.77635,532141800,14,1,4.05,9.4,156,15,3,1824
64.77635,532141800,14,1,4.05,9.4,161,15,3,1890
64.77635,532141800,14,1,4.05,9.4,152,15,3,1748
64.77635,532141800,14,1,4.05,9.4,199,20,4,2569
65.70784,537924800,16,4,3.71,7.34,147,15,3,1978
65.70784,537924800,16,4,3.71,7.34,256,25,5,3517
65.59829,567717800,15,2,4.81,11.73,197,20,4,2384
68.48662,585492100,12,1,4.36,10.88,255,25,5,3124
68.48662,585492100,12,1,4.36,10.88,147,15,3,2040
68.48662,585492100,12,1,4.36,10.88,193,20,4,2308
69.11631,578853060,13,3,4.47,9.17,254,25,5,3472
69.11631,578853060,13,3,4.47,9.17,149,15,3,2044
69.11631,578853060,13,3,4.47,9.17,152,15,3,2131
69.11631,578853060,13,3,4.47,9.17,193,20,4,1977
69.39965,583142300,14,4,5.23,9.79,254,25,5,3730
69.39965,583142300,14,4,5.23,9.79,149,15,3,1700
69.39965,583142300,14,4,5.23,9.79,442,45,9,6366
69.39965,583142300,14,4,5.23,9.79,255,25,5,3006
69.481834,590883140,17,4,5.76,11.26,199,20,4,2252
69.481834,590883140,17,4,5.76,11.26,442,45,9,5598
69.43748,581224400,17,2,6.85,12.5,158,15,3,1850
69.43748,581224400,17,2,6.85,12.5,245,25,5,3603
69.43748,581224400,17,2,6.85,12.5,158,15,3,1597
69.43748,581224400,17,2,6.85,12.5,201,20,4,2366
69.43748,581224400,17,2,6.85,12.5,254,25,5,3300
69.43748,581224400,17,2,6.85,12.5,255,25,5,3654
68.6986,611050400,22,6,7.77,11.38,442,45,9,5150
68.6986,611050400,22,6,7.77,11.38,149,15,3,1994
68.6986,611050400,22,6,7.77,11.38,199,20,4,2251
70.190445,604434200,20,3,8.05,11.31,150,15,3,1880
70.190445,604434200,20,3,8.05,11.31,150,15,3,2196
72.44056,602345600,18,2,7.79,10.77,399,40,8,4660
72.44056,602345600,18,2,7.79,10.77,197,20,4,2567
72.44056,602345600,18,2,7.79,10.77,404,40,8,5004
73.5266,644671740,19,3,7.57,11.65,254,25,5,3662
73.5266,644671740,19,3,7.57,11.65,158,15,3,2306
73.5266,644671740,19,3,7.57,11.65,158,15,3,2214
74.5183,655033660,19,3,7,11.36,442,45,9,4433
74.5183,655033660,19,3,7,11.36,156,15,3,2095
77.231834,659849000,19,2,7.93,11.1,442,45,9,5455
